Territory (Abbr),Territory Name,Territory Type,Adjacent Territories,Country,Dot?,Home Supply Center?
Bel,Belgium,Coast,Nth Eng Pic Bur Ruh Hol,Neutral,TRUE,FALSE
Ruh,Ruhr,Land,Hol Bel Bur Mun Kie,Ger,FALSE,FALSE
Kie,Kiel,Coast,Ruh Hol Hel Den Bal Ber Mun,Ger,TRUE,Ger
Ber,Berlin,Coast,Bal Pru Sil Mun Kie,Ger,TRUE,Ger
Sil,Silesia,Land,War Gal Boh Mun Ber Pru,Ger,FALSE,FALSE
Mun,Munich,Land,Ruh Kie Ber Sil Boh Tyr Bur,Ger,TRUE,Ger
Pru,Prussia,Coast,Bal Lvn War Sil Ber,Ger,FALSE,FALSE
Stp,St. Petersburg,Coast,Bar Bot Fin Lvn Mos Nwy,Rus,TRUE,Rus
Lvn,Livonia,Coast,Stp Bot Bal Pru War Mos,Rus,FALSE,FALSE
Mos,Moscow,Land,Stp Lvn War Ukr Sev,Rus,TRUE,Rus
War,Warsaw,Land,Lvn Mos Ukr Gal Sil Pru,Rus,TRUE,Rus
Ukr,Ukraine,Land,Mos Sev Rum Gal War,Rus,FALSE,FALSE
Sev,Sevastopol,Coast,Mos Ukr Run Arm,Rus,TRUE,Rus
Pic,Picardy,Coast,Eng Bel Bur Par Bre,Fra,FALSE,FALSE
Bre,Brest,Coast,Eng Pic Par Gas Mao,Fra,TRUE,Fra
Par,Paris,Land,Bre Pic Bur Gas,Fra,TRUE,Fra
Bur,Burgundy,Land,Bel Ruh Mun Mar Gas Par Pic,Fra,FALSE,FALSE
Gas,Gascony,Coast,Bre Par Bur Mar Spa-NC Mao,Fra,FALSE,FALSE
Mar,Marseilles,Coast,Gas Bur Pie Lyo Spa-SC,Fra,TRUE,Fra
Mao,Mid-Atlantic Ocean,Sea,Iri Eng Bre Gas Spa-NC Por Wes Naf,Neutral,FALSE,FALSE
Spa-NC,Spain (North Coast),Coast,Gas Mao Por Spa-SC,Neutral,TRUE,FALSE
Spa-SC,Spain (South Coast),Coast,Por Wes Lyo Mar Spa-NC,Neutral,TRUE,FALSE
Por,Portugal,Coast,Mao Spa-NC Spa-SC,Neutral,TRUE,FALSE
Naf,North Africa,Coast,Mao Wes Tun,Neutral,FALSE,FALSE
Tun,Tunisia,Coast,Naf Wes Tys Ion,Neutral,TRUE,FALSE
Wes,Western Mediterranean,Sea,Mao Spa-SC Lyo Tys Tun Naf,Neutral,FALSE,FALSE
Lyo,Gulf of Lyon,Sea,Spa-SC Mar Pie Tus Tys Wes,Neutral,FALSE,FALSE
Tys,Tyrrhenian Sea,Sea,Wes Lyo Tus Rom Nap Ion Tun,Neutral,FALSE,FALSE
Gal,Galicia,Land,War Ukr Run Bud Vie Boh Sil,Aus,FALSE,FALSE
Boh,Bohemia,Land,Mun Sil Gal Vie Tyr,Aus,FALSE,FALSE
Tyr,Tyrolia,Land,Mun Boh Vie Tri Ven Pie,Aus,FALSE,FALSE
Vie,Vienna,Land,Boh Gal Bud Trie Tyr,Aus,TRUE,Aus
Tri,Trieste,Coast,Tyr Vie Bud Ser Alb Adr Vie,Aus,TRUE,Aus
Bud,Budapest,Land,Tri Vie Gal Run Ser,Aus,TRUE,Aus
Pie,Piedmont,Coast,Mar Tyr Ven Tus Lyo,Ita,FALSE,FALSE
Tus,Tuscany,Coast,Pie Ven Rom Tys Lyo,Ita,FALSE,FALSE
Ven,Venice,Coast,Tyr Tri Adr Apu Rom Tus Pie,Ita,TRUE,Ita
Rom,Rome,Coast,Tus Ven Apu Nap Tys,Ita,TRUE,Ita
Apu,Apulia,Coast,Adr Ion Nap Rom Ven,Ita,FALSE,FALSE
Nap,Naples,Coast,Rom Apu Ion Tys,Ita,TRUE,Ita
Adr,Adriatic Sea,Sea,Tri Alb Ion Apu Ven,Neutral,FALSE,FALSE
Ion,Ionian Sea,Sea,Tun Tys Nap Apu Adr Alb Gre Aeg Eas,Neutral,FALSE,FALSE
Alb,Albania,Coast,Tri Ser Gre Ion Adr,Neutral,FALSE,FALSE
Ser,Serbia,Land,Tri Bud Rum Bul-EC Bul-SC Gre Alb,Neutral,TRUE,FALSE
Rum,Rumania,Coast,Bud Gal Ukr Sev Bla Bul-EC Ser,Neutral,TRUE,FALSE
Bul-EC,Bulgaria (East Coast),Coast,Rum Bla Con Ser Bul-SC,Neutral,TRUE,FALSE
Bul-SC,Bulgaria (South Coast),Coast,Ser Aeg Con Gre Bul-EC,Neutral,TRUE,FALSE
Gre,Greece,Coast,Alb Ser Bul-SC Aeg Ion,Neutral,TRUE,FALSE
Bla,Black Sea,Sea,Bul-EC Rum Arm Ank Con Sev,Neutral,FALSE,FALSE
Aeg,Aegean Sea,Sea,Gre Bul-SC Con Smy Eas Ion,Neutral,FALSE,FALSE
Eas,Eastern Mediterranean,Sea,Ion Aeg Smy Syr,Neutral,FALSE,FALSE
Con,Constantinople,Coast,Bul-SC Bul-EC Bla Ank Smy Aeg,Tur,TRUE,Tur
Ank,Ankora,Coast,Bla Arm Smy Con,Tur,TRUE,Tur
Arm,Armenia,Coast,Sev Bla Ank Smy Syr,Tur,FALSE,FALSE
Smy,Smyrna,Coast,Con Ank Arm Syr Eas Aeg,Tur,TRUE,Tur
Syr,Syria,Coast,Eas Smy Arm,Tur,FALSE,FALSE
